States/UTs,Rice,Wheat,Atta (Wheat),Gram Dal,Tur/Arhar Dal,Urad Dal,Moong Dal,Masoor Dal,Sugar,Milk @,Groundnut Oil (Packed),Mustard Oil (Packed),Vanaspati (Packed),Soya Oil (Packed),Sunflower Oil (Packed),Palm Oil (Packed),Gur,Tea Loose,Salt Pack (Iodised),Potato,Onion,Tomato,Date
Uttar Pradesh,34.17,27.91,33.1,70.48,106.42,101.8,100.31,93.25,41.22,58.17,187.41,165.18,139.48,153.97,175.17,118.65,44.62,252.73,25.11,20.37,22.39,22.69,2022-12-24
Uttarakhand,34,28.25,33.25,86,113.75,108,110.25,101,42.5,60,178.5,165.75,163.5,164.25,170.75,124,47,262.25,27.5,25.5,30.75,31.75,2022-12-24
West Bengal,39.29,26.2,35,71,115.43,107.43,107.14,102.71,43.67,49.33,187.25,167.33,128.17,150,169.5,121.17,51.33,269.83,18.33,18.33,28.67,30.17,2022-12-24
Andaman and Nicobar,41.67,40,65.67,84.33,128.67,137.33,126.67,111.67,51.67,68,224.5,220,200.67,,205.33,135.33,73.67,305,20.67,46.67,48.33,70,2022-12-25
Andhra Pradesh,49.4,40.8,42.2,70.2,113.4,119.4,108.6,102.4,39.6,57.4,173.8,208.4,121.6,180,161.8,118,54.4,332.5,20.6,32.8,27,22,2022-12-25
Arunachal pradesh,33,,44,83.5,115,114.5,114.5,105,49,70,,164.5,145,164,240,,70,329,16.5,31,40,54.5,2022-12-25
Assam,36.47,30.56,36,69.86,109.57,99.42,101.29,92.64,43.36,67.14,198.5,178.4,147.79,159.4,178.92,127.08,52.79,227.86,11.5,19.36,28.86,37.79,2022-12-25
Bihar,35.94,28.79,34.82,67.44,109.06,106.24,100.12,86.21,42.74,52.38,196,165.68,135.81,152.18,188,119.85,44.88,293.38,21.32,20.56,22.26,30.94,2022-12-25
Chandigarh,38,28,35,74,114,109,103,96,42,55,194,176,145,156,178,123,53,272,27,26,30,38,2022-12-25
Chhattisgarh,33.86,31.14,34.86,69.71,102.14,96.14,99.71,90.71,40.57,54.14,188.43,177.14,132.71,148.57,168,135,45.57,294.29,21.86,24.43,25.14,14.86,2022-12-25
Delhi,34,28,32,70,118,120,100,90,41,52,209,183,143,159,195,110,45,227,26,23,25,25,2022-12-25
DNH and DD,41,38,41,83,118,118,117,114,43,60,177,182,177,175,185,126,65,290,24,22,24,17,2022-12-25
Gujarat,38,32,34.5,74,107.5,102.25,102.5,92.5,40.25,57,185,178,159,167.75,185.5,148,45.75,348.25,13,24.5,21.75,31.33,2022-12-25
Haryana,39,25.5,32.25,67,109.75,99.75,99,95.75,42.25,58,184.25,165,150,154,175.5,127,45,238.75,24.25,23.75,22.75,27.75,2022-12-25
Himachal Pradesh,33,25,32.58,69.25,111.83,107.5,98.17,93.08,42.5,51.45,198,178.83,142.67,144.3,171.75,139.8,41.67,264.64,26.58,25.92,29.75,32.92,2022-12-25
Jammu and Kashmir,38.75,29.5,40.25,82,119.25,118.5,112,103.25,50.33,47.67,250,196.75,163.5,171.75,186.5,139,48.33,309.67,27,27.75,32.25,36.75,2022-12-25
Jharkhand,37.2,30.62,34.87,72.8,108,101,101.33,86.67,43.54,53.91,192.5,168.36,134.71,158.71,179,121.31,43.62,288.92,22.85,21,27,23.07,2022-12-25
Karnataka,47.95,39.73,44,76.62,115.41,114.68,105.86,101.18,39.09,46.45,183.5,187.55,134.59,150.62,158.09,105.77,49.09,305.86,18.73,34.45,29.41,18.77,2022-12-25
Kerala,52.33,43.17,48.09,95.82,134.18,134.55,124.73,117.64,41.5,51.75,223.43,214.33,170.83,,164.17,116.09,61.08,239.58,14.5,43.75,32.08,30.75,2022-12-25
Madhya Pradesh,33.22,29.06,34.44,67.5,104,93.5,93.5,89.89,40.44,55.61,183,162.78,128.22,139.11,170.65,119.5,40.89,252.94,18.39,20.89,17.5,13,2022-12-25
Maharashtra,43.12,36.94,41.71,70.18,118.24,109.88,106.76,99.24,40.24,55.38,183.53,180.27,140,144.44,164,114.07,50.53,285.44,22.53,29.81,25.81,19.5,2022-12-25
Manipur,40,20,40,80,120,135,110,88,45,30,185,240,170,240,210,116,80,230,14,25,28,60,2022-12-25
Meghalaya,26.33,38.67,37.5,80,109.25,118,112,93.83,45.5,69.67,,163,146,159.33,184,142.33,80,365,23.17,30.17,41.17,50.33,2022-12-25
Mizoram,49.67,39,43,80,110,100,110,110,50,71.67,180,180,96,163.33,110,110,47,260,27.67,41.67,60,64,2022-12-25
Nagaland,30,43,34.33,92,107.5,106.67,111.67,95,49,73.25,210,165,210,169.5,205,165,76.67,280,18.6,37,38.75,53.25,2022-12-25
Odisha,31.43,34.71,38.71,66.86,109.14,99.71,99.14,84.43,43.29,48,182,174,112.71,161.33,156.86,108.14,45.71,232.33,25.43,15.14,24.43,20.71,2022-12-25
Puducherry,35,39,36,76,121,123,105,94,41,44,178,182,158,,144,100,52,341,25,45,30,20,2022-12-25
Punjab,33.25,24,30,73,118.5,119.25,106.5,110.25,41.25,54.5,218.2,166,135,152.4,199.2,100.33,48.75,287,26.5,23.5,25.5,28.25,2022-12-25
Rajasthan,36.37,29.79,33.3,68.25,108.5,103.85,97.2,90.3,41.26,50.88,187.79,166.32,124.29,154.79,175.69,140.33,45,310.53,19.83,23.05,23.84,22.11,2022-12-25
Sikkim,53.67,36.33,39.33,79.67,124.33,125,116,106.67,48.67,62,,199.67,141.67,181.33,227.33,,55,493.33,18,35,37.67,38.33,2022-12-25
Tamil Nadu,51.33,40.22,48.78,73.44,122.22,122.78,108.67,97.67,39.44,42,218.78,203.5,132.22,,163.33,106.89,54.78,275.88,25.11,38.89,33.22,21,2022-12-25
Telangana,42.89,36.56,40,69.33,109.78,109.78,102.56,94.56,39.7,62,169.11,183.89,135.89,158.6,162,112,55.1,296.7,18,26.33,28.78,24.78,2022-12-25
Tripura,34,,38.33,73.33,115.67,109.67,100.33,105,44.67,70.33,,165.33,126,149.67,195,117.33,51.67,189.67,10.67,24,32.67,47,2022-12-25
Uttar Pradesh,34.17,27.91,33.1,70.48,106.42,101.8,100.31,93.25,41.22,58.17,187.41,165.18,139.48,153.97,175.17,118.65,44.62,252.73,25.11,20.37,22.39,22.69,2022-12-25
Uttarakhand,34,28.25,33.25,86,113.75,108,110.25,101,42.5,60,178.5,165.75,163.5,164.25,170.75,124,47,262.25,27.5,25.5,30.75,31.75,2022-12-25
West Bengal,39.29,26.2,35,71,115.43,107.43,107.14,102.71,43.67,49.33,187.25,167.33,128.17,150,169.5,121.17,51.33,269.83,18.33,18.33,28.67,30.17,2022-12-25
Andaman and Nicobar,41.33,40,65.67,84.33,129,137.33,126.67,111.67,51.67,68,224.5,220,200.67,,205.33,135,74,305,20.67,50,53.5,70,2022-12-26
Andhra Pradesh,51.75,41,42.25,71.5,116.75,121.75,108.25,103,40.75,56.75,171.75,196,122,170,154.25,106.5,54.5,346.75,20.75,31.25,29.25,22.5,2022-12-26
Arunachal pradesh,28.67,40,40,83.33,123.33,123.33,120,106.67,50,69.33,,173.33,170,171,213.33,138,77.5,270,21,30.67,39,53.33,2022-12-26
Assam,35.5,30.56,35.8,69.13,110.27,99.64,101.87,93.73,43.2,67.53,198.5,177.56,146,159.38,178.64,125.38,53.13,236.8,11.33,19.07,29.36,36.93,2022-12-26
Bihar,36.59,28.97,34.62,67.7,109.43,106,100.59,86.35,42.7,52.51,196.5,165.73,135.74,152.27,190.04,120.72,45.14,294.11,21.7,20.3,23,30.03,2022-12-26
Chandigarh,38,28,35,74,114,109,103,96,42,55,194,176,145,155,178,123,53,272,27,26,30,38,2022-12-26
Chhattisgarh,33.57,30.57,34.29,69.29,100.86,95,99.14,89.86,40.43,54.14,188,177.14,132.71,148,167.71,134,45.29,292.57,21.86,24.14,24.71,13.86,2022-12-26
Delhi,34,28,32,72,120,118,103,92,41,52,209,182,143,161,198,112,45,226,26,23,27,25,2022-12-26
DNH and DD,38.33,31,34.5,78.33,114,116.33,108,105.67,38.33,53,192.33,171,168.5,171.5,195,127,49.33,237.5,22,22,23.5,17,2022-12-26
Goa,42.5,41,40,77.5,128.5,117.5,115,101,40,53.5,195.5,180.5,154,170,163.5,108,55,312,23.5,37.5,34,23.5,2022-12-26
Gujarat,36.67,33.17,35.67,72,112.83,102.83,98.5,93.83,40.5,56.17,185.6,178,144.6,169.4,179.8,132.4,47.83,330.83,14.5,23.8,23,31.75,2022-12-26
Haryana,38.75,25,32,66.5,109.25,99.25,98.5,95.25,41.75,57.5,183.75,164.5,149.75,153.75,174.75,127.25,44.5,236.25,24.25,21.33,20,25.33,2022-12-26
Himachal Pradesh,32.92,25,32.58,69.33,111.92,107.17,98.08,92.75,42.42,51.45,198,178.58,142.67,144.4,171.75,139.8,41.67,264.64,26.5,25.75,29.17,32.92,2022-12-26
Jammu and Kashmir,38.25,29.25,40.25,81.75,118.75,118.25,112,103.25,49.25,51.75,250,195.75,163.5,171.75,185.75,139.67,47.25,308.5,25,27.25,31,35.25,2022-12-26
Jharkhand,37.2,30.54,35,72.73,107.67,100.73,101.07,86.53,43.38,53.91,192.5,167.64,134.36,158.36,178.83,121.08,43.54,288.58,22.77,20.57,26.71,22.79,2022-12-26
Karnataka,47.86,39.9,44.52,77.24,115.62,115.43,105.95,100.76,38.95,46.18,185,187.29,132.62,150.25,157.43,105.14,48.77,310.82,18.82,33.95,29.45,18.32,2022-12-26
Kerala,52.57,43.36,47.21,94.64,134.07,132.79,122.5,114.71,40.79,52.5,222.71,213.7,168.79,,163.14,114,59.43,232,14.29,42.57,32.14,30.86,2022-12-26
Madhya Pradesh,32.75,29.4,34.65,67.3,104.75,93.75,94.15,91.05,40.45,55.25,183.1,164.6,130.25,139.8,170.95,119.5,41.65,254.5,19.4,20.7,18.1,12.8,2022-12-26
Maharashtra,42.83,37.44,41.39,69.72,116.06,108.28,105.83,98.94,40.18,55.53,183.53,180.38,140.18,142.59,164.06,113.71,50.18,290,22.35,28.94,25.88,18.59,2022-12-26
Manipur,40,20,40,80,120,135,110,88,45,30,185,240,170,240,210,116,80,230,14,25,28,60,2022-12-26
Meghalaya,26.6,39.4,37.6,80,109.25,118,110,93,45,69.6,,162,130,156.6,190,127.5,80,366,24.4,29.8,41.4,50,2022-12-26
Mizoram,50,40,45,95,120,130,100,107.5,49,77.5,,193,,157.5,220,137,100,225,27.5,42.5,60,68.5,2022-12-26
Nagaland,32.5,43,33.5,95,115,110,112.5,92.5,48.75,72.67,210,170,210,175,205,165,80,260,15.75,38.33,40,58.33,2022-12-26
Odisha,31.44,35,38.33,66.78,108.78,99.44,98.89,85.33,43.22,48.11,182,175.78,117.38,155.25,160.44,112.11,46.56,235,24.89,15.33,26.56,22,2022-12-26
Puducherry,35,39,36,76,121,123,105,94,41,44,178,182,158,,144,100,52,341,25,45,30,20,2022-12-26
Punjab,33,24.5,29.83,79.5,118.5,117.83,105.67,105.83,41.17,56.33,210.86,161.14,136.14,151,191.29,109.2,48.33,290.83,27.17,22,24.5,28.33,2022-12-26
Rajasthan,37.04,29.7,33.26,69.35,107.52,102.15,96.7,89.33,40.93,49.13,188.62,166.78,128.6,151.81,175.14,155,44,305.15,19.33,22.35,23.23,22.96,2022-12-26
Sikkim,55.33,34.33,41,80,125,128.33,113.67,103.33,47.67,62,,194.67,132,178.33,217.33,,51.67,451,19.33,36.67,37.67,38.33,2022-12-26
Tamil Nadu,51.33,40.22,48.78,73.44,122.67,123.22,108.89,97.67,39.44,42,218,203.5,132.22,,162.78,106.78,54.78,276,25.11,38,33.44,20.33,2022-12-26
Telangana,41.33,34,38.33,68.33,104.33,107.67,101.33,94,40.67,55.67,172,179.33,144.67,173,166.33,117.67,53.67,278,16.67,17.67,25,36.67,2022-12-26
Tripura,33.5,,38.5,76,117.5,110.5,101.5,105,46,70.5,,162.5,134,152,195,121,52.5,199.5,10,28,36,40.5,2022-12-26
Uttar Pradesh,34.03,27.85,33.05,69.92,106.66,102.19,100,92.89,41.14,58.1,187.54,165.79,139.44,153.95,175.55,119.32,44.66,252.58,25.19,19.94,22.18,22.53,2022-12-26
Uttarakhand,34,28.25,33.25,86.25,113.75,108,110.25,101,42.5,60,177.5,165.75,164,164.5,170.75,124,47,262.25,27.5,24.75,29,30.75,2022-12-26
West Bengal,40,25.75,35,73.2,119.8,112.2,107.8,104.4,44,48.4,191.33,165.6,126.8,149,171.6,122.4,53.2,269.8,17.2,18.8,27.4,30.4,2022-12-26
Andaman and Nicobar,48,40,65.33,84.33,127,134.33,125.67,111,51.67,68,224.5,220.33,200.67,,205,137.33,74,305,20.67,50.67,56.67,67.67,2022-12-27
Andhra Pradesh,49,41,42.8,70,113.8,118.6,108.4,102,39.6,57.4,175.2,208.4,123,180,165.4,118.2,53.4,315.4,20.6,34.8,26.6,19.6,2022-12-27
Arunachal pradesh,31.25,40,40,85,120,119.25,117.5,105.75,49.5,68.5,,167.5,165.75,171.5,213.33,138,73,282.33,20,28.75,38.75,53,2022-12-27
Assam,35.33,29.83,36.11,68.22,108.89,101.89,99.33,92.11,43.38,66.88,210.67,185.75,154.43,154.75,180.75,130,52.5,226.63,11.75,24.38,31.75,51.17,2022-12-27
Bihar,36.39,28.34,34.58,67.82,109.29,105.89,100.63,86.61,43.03,52.21,195.73,167.84,139.49,154.26,190.82,123.77,46.66,291.13,21.26,20.63,24.87,39.18,2022-12-27
Chandigarh,38,28,35,74,114,109,103,95,42,55,194,176,145,155,178,123,53,272,27,28,34,43,2022-12-27
Chhattisgarh,35.57,29.86,34.86,73.43,101.86,95.14,99.29,90.57,40,54,190.29,177.29,133.29,152.57,168.71,132.29,45.71,300.43,23.71,25.71,26.86,18.14,2022-12-27
Delhi,34,28,33,71,118,120,103,90,41,52,213,187,147,169,200,119,50,228,25,27,30,30,2022-12-27
DNH and DD,36.5,27.5,29,77,112.5,116,102.5,102.5,38,,204.5,165.5,163,168,203.5,130,43,185,27,25,32,,2022-12-27
Goa,42.5,40.5,36.5,77.5,124.5,117.5,114,99.5,40.5,53.5,195,182,143.5,170,169,113.5,53.5,312,23.5,37.5,37.5,23,2022-12-27
Gujarat,35.14,31.14,34.14,70.43,110.14,101.14,97,91.86,39.86,56.43,186.14,177.71,149.71,167.14,171.29,133.43,47.71,320.86,14.43,24,23,33.83,2022-12-27
Haryana,33.33,24,31,64.67,103,94.33,93.67,88.67,41.33,55.33,190.67,165.67,145,150.33,178.33,118.33,42.33,223.33,23.33,21.33,21.67,27,2022-12-27
Himachal Pradesh,33.42,24.5,32.17,69.17,112.58,108.42,98.83,93.17,42.92,51.09,198,179.33,148,144.5,172,141.2,43.08,264.36,26.25,30.17,32.25,35.75,2022-12-27
Jammu and Kashmir,38.25,29.5,40.25,81,119.5,118.25,111.25,102.25,49.5,51.75,250,198.25,167,173.5,183.25,141.33,47.75,307.75,24.25,33.25,37,40.5,2022-12-27
Jharkhand,36.62,28.45,33.46,72.31,106.54,102.23,101.69,86.77,43.67,53.91,197.1,169.46,138.38,159.69,182.82,120.5,44.58,288.36,22,22.92,28.46,30.92,2022-12-27
Karnataka,49,39.58,44.67,72.58,116.83,112.75,103.58,100.42,39.58,45.17,191.67,188.42,136.33,154.92,162.17,109.58,53.17,299.58,20,35,32.25,14.58,2022-12-27
Kerala,53.25,42.67,47.92,95.08,134.75,134.25,122.58,117.08,41.08,47.42,215,215.33,173.09,,166.25,117.82,58.92,235.83,14.25,40.75,31.5,22.33,2022-12-27
Madhya Pradesh,35,27.67,34.08,67.08,108.33,93.25,95.17,92,41.92,57.08,183.83,166.83,139.27,147.67,175.58,115.43,44.08,277.83,19.33,23.55,19.82,23.82,2022-12-27
Maharashtra,40.08,35.92,40.38,70.92,116.85,108.69,106.15,98.54,40.85,54.38,184,181.33,141.31,151.08,171.77,116.7,51.08,268.46,22.31,31.38,27.77,23,2022-12-27
Manipur,40,20,40,80,120,135,100,88,45,40,185,190,170,,210,116,80,210,14,30,28,60,2022-12-27
Meghalaya,26.14,37.86,36.71,74,106.2,116.4,109.33,93.29,45.29,69.43,,162.86,147.5,163,179.75,143.33,77.2,341.14,22.86,33.43,42.43,46.43,2022-12-27
Mizoram,47.29,39.75,43,93.25,120,120,112.5,110,50,72.75,187,196.4,174.75,165.33,177.33,131.33,93.4,221.63,27.13,40.17,53.83,67.67,2022-12-27
Nagaland,34.4,37.5,40.9,98.33,117.14,116.11,120,106.5,50,68.63,195,176.11,201.67,183.11,196.67,172.5,76,311,17.6,35.56,44.44,61.78,2022-12-27
Odisha,31.88,34.63,38,66.75,109,99.38,96.25,85.88,43.38,48.13,180,178.38,119.5,157.25,169,115.25,47.5,234.29,25.13,17.88,24.5,25.13,2022-12-27
Puducherry,35,40,35,74,123,129,106,96,41,44,180,185,155,,152,100,53,341,25,35,35,15,2022-12-27
Punjab,33.67,23.33,28.67,73.33,119.67,127.33,105.67,112.33,41.67,54,225.67,165,133.67,153.67,195.33,98.5,47.33,295,26,28.67,31.33,29.67,2022-12-27
Rajasthan,36.63,30.63,31.75,72,115.13,104.13,100.38,93.13,41.75,49.75,192.88,174.25,136.86,166.57,191.83,148.5,47.88,289.25,20.5,27.38,27.38,36.38,2022-12-27
Sikkim,48.5,35.25,41.5,79.75,123.25,126.25,115.25,103,47.75,62,,195.5,134.75,177.75,218,,53.75,466.75,18.75,37,38,40,2022-12-27
Tamil Nadu,50.67,39.89,48.78,72.56,121.56,122.67,104.78,99.22,39.78,42,219.78,202.5,130.67,,166.56,109,54.56,274.13,25.11,39.56,36.11,17,2022-12-27
Telangana,42.78,35.11,39.78,68.78,106,109.89,99.89,91.33,39.33,62.56,165.22,179.44,132.67,167.4,164.33,112.63,55.44,308,17.11,27.29,27.71,28.57,2022-12-27
Tripura,32.5,,41,75,115,110,108,111.5,47,70,,177,138,157.5,190,122.5,69.5,224.5,10,28.5,36,64,2022-12-27
Uttar Pradesh,35.02,27.38,32.33,71.29,107.41,102.1,99.27,93.02,41.31,57.94,188.24,167.4,142.38,155.48,176.89,121.83,45.27,267.56,24.51,24.1,25.75,31.85,2022-12-27
Uttarakhand,34.33,28.33,33,92,113,108.67,109,100.67,44.5,56.5,177.33,171,165.67,165.67,173.67,144,46.5,269.5,26.5,28.33,33.67,37.67,2022-12-27
West Bengal,40.14,26.2,34.29,72,117.57,107.57,107.71,102.14,44,48.86,189.8,168.71,127.29,148.14,175.57,122.71,52.57,262.86,17.29,20.71,29.57,40.43,2022-12-27
Andaman and Nicobar,48,40,65.33,84.33,127,134.33,125.67,111,51.67,68,224.5,220.33,200.67,,205,137.33,74,305,20.67,50.67,56.67,67.67,2022-12-28
Andhra Pradesh,49,41,42.8,70,113.8,118.6,108.4,102,39.6,57.4,175.2,208.4,123,180,165.4,118.2,53.4,315.4,20.6,34.8,26.6,19.6,2022-12-28
Arunachal pradesh,31.25,40,40,85,120,119.25,117.5,105.75,49.5,68.5,,167.5,165.75,171.5,213.33,138,73,282.33,20,28.75,38.75,53,2022-12-28
Assam,35.33,29.83,36.11,68.22,108.89,101.89,99.33,92.11,43.38,66.88,210.67,185.75,154.43,154.75,180.75,130,52.5,226.63,11.75,24.38,31.75,51.17,2022-12-28
Bihar,36.39,28.34,34.58,67.82,109.29,105.89,100.63,86.61,43.03,52.21,195.73,167.84,139.49,154.26,190.82,123.77,46.66,291.13,21.26,20.63,24.87,39.18,2022-12-28
Chandigarh,38,28,35,74,114,109,103,95,42,55,194,176,145,155,178,123,53,272,27,28,34,43,2022-12-28
Chhattisgarh,35.57,29.86,34.86,73.43,101.86,95.14,99.29,90.57,40,54,190.29,177.29,133.29,152.57,168.71,132.29,45.71,300.43,23.71,25.71,26.86,18.14,2022-12-28
Delhi,34,28,33,71,118,120,103,90,41,52,213,187,147,169,200,119,50,228,25,27,30,30,2022-12-28
DNH and DD,36.5,27.5,29,77,112.5,116,102.5,102.5,38,,204.5,165.5,163,168,203.5,130,43,185,27,25,32,,2022-12-28
Goa,42.5,40.5,36.5,77.5,124.5,117.5,114,99.5,40.5,53.5,195,182,143.5,170,169,113.5,53.5,312,23.5,37.5,37.5,23,2022-12-28
Gujarat,35.14,31.14,34.14,70.43,110.14,101.14,97,91.86,39.86,56.43,186.14,177.71,149.71,167.14,171.29,133.43,47.71,320.86,14.43,24,23,33.83,2022-12-28
Haryana,33.33,24,31,64.67,103,94.33,93.67,88.67,41.33,55.33,190.67,165.67,145,150.33,178.33,118.33,42.33,223.33,23.33,21.33,21.67,27,2022-12-28
Himachal Pradesh,33.42,24.5,32.17,69.17,112.58,108.42,98.83,93.17,42.92,51.09,198,179.33,148,144.5,172,141.2,43.08,264.36,26.25,30.17,32.25,35.75,2022-12-28
Jammu and Kashmir,38.25,29.5,40.25,81,119.5,118.25,111.25,102.25,49.5,51.75,250,198.25,167,173.5,183.25,141.33,47.75,307.75,24.25,33.25,37,40.5,2022-12-28
Jharkhand,36.62,28.45,33.46,72.31,106.54,102.23,101.69,86.77,43.67,53.91,197.1,169.46,138.38,159.69,182.82,120.5,44.58,288.36,22,22.92,28.46,30.92,2022-12-28
Karnataka,49,39.58,44.67,72.58,116.83,112.75,103.58,100.42,39.58,45.17,191.67,188.42,136.33,154.92,162.17,109.58,53.17,299.58,20,35,32.25,14.58,2022-12-28
Kerala,53.25,42.67,47.92,95.08,134.75,134.25,122.58,117.08,41.08,47.42,215,215.33,173.09,,166.25,117.82,58.92,235.83,14.25,40.75,31.5,22.33,2022-12-28
Madhya Pradesh,35,27.67,34.08,67.08,108.33,93.25,95.17,92,41.92,57.08,183.83,166.83,139.27,147.67,175.58,115.43,44.08,277.83,19.33,23.55,19.82,23.82,2022-12-28
Maharashtra,40.08,35.92,40.38,70.92,116.85,108.69,106.15,98.54,40.85,54.38,184,181.33,141.31,151.08,171.77,116.7,51.08,268.46,22.31,31.38,27.77,23,2022-12-28
Manipur,40,20,40,80,120,135,100,88,45,40,185,190,170,,210,116,80,210,14,30,28,60,2022-12-28
Meghalaya,26.14,37.86,36.71,74,106.2,116.4,109.33,93.29,45.29,69.43,,162.86,147.5,163,179.75,143.33,77.2,341.14,22.86,33.43,42.43,46.43,2022-12-28
Mizoram,47.29,39.75,43,93.25,120,120,112.5,110,50,72.75,187,196.4,174.75,165.33,177.33,131.33,93.4,221.63,27.13,40.17,53.83,67.67,2022-12-28
Nagaland,34.4,37.5,40.9,98.33,117.14,116.11,120,106.5,50,68.63,195,176.11,201.67,183.11,196.67,172.5,76,311,17.6,35.56,44.44,61.78,2022-12-28
Odisha,31.88,34.63,38,66.75,109,99.38,96.25,85.88,43.38,48.13,180,178.38,119.5,157.25,169,115.25,47.5,234.29,25.13,17.88,24.5,25.13,2022-12-28
Puducherry,35,40,35,74,123,129,106,96,41,44,180,185,155,,152,100,53,341,25,35,35,15,2022-12-28
Punjab,33.67,23.33,28.67,73.33,119.67,127.33,105.67,112.33,41.67,54,225.67,165,133.67,153.67,195.33,98.5,47.33,295,26,28.67,31.33,29.67,2022-12-28
Rajasthan,36.63,30.63,31.75,72,115.13,104.13,100.38,93.13,41.75,49.75,192.88,174.25,136.86,166.57,191.83,148.5,47.88,289.25,20.5,27.38,27.38,36.38,2022-12-28
Sikkim,48.5,35.25,41.5,79.75,123.25,126.25,115.25,103,47.75,62,,195.5,134.75,177.75,218,,53.75,466.75,18.75,37,38,40,2022-12-28
Tamil Nadu,50.67,39.89,48.78,72.56,121.56,122.67,104.78,99.22,39.78,42,219.78,202.5,130.67,,166.56,109,54.56,274.13,25.11,39.56,36.11,17,2022-12-28
Telangana,42.78,35.11,39.78,68.78,106,109.89,99.89,91.33,39.33,62.56,165.22,179.44,132.67,167.4,164.33,112.63,55.44,308,17.11,27.29,27.71,28.57,2022-12-28
Tripura,32.5,,41,75,115,110,108,111.5,47,70,,177,138,157.5,190,122.5,69.5,224.5,10,28.5,36,64,2022-12-28
Uttar Pradesh,35.02,27.38,32.33,71.29,107.41,102.1,99.27,93.02,41.31,57.94,188.24,167.4,142.38,155.48,176.89,121.83,45.27,267.56,24.51,24.1,25.75,31.85,2022-12-28
Uttarakhand,34.33,28.33,33,92,113,108.67,109,100.67,44.5,56.5,177.33,171,165.67,165.67,173.67,144,46.5,269.5,26.5,28.33,33.67,37.67,2022-12-28
West Bengal,40.14,26.2,34.29,72,117.57,107.57,107.71,102.14,44,48.86,189.8,168.71,127.29,148.14,175.57,122.71,52.57,262.86,17.29,20.71,29.57,40.43,2022-12-28
Andaman and Nicobar,42,40,65.5,85,129,135,127,110,53,67.5,246,228,207,,221,144.5,78,305,21.5,51.5,55,71.5,2022-12-29
Andhra Pradesh,49,41,42.8,70,113.8,118.6,108.4,102,39.6,57.4,175.2,208.4,123,180,165.4,118.2,53.4,315.4,20.6,34.2,27,19.2,2022-12-29
Arunachal pradesh,31.25,40,40,84.75,120,119.25,117.5,105.75,49.5,68.5,,167.5,167,171.5,213.33,138,73,282.33,20,28,38.5,52.5,2022-12-29
Assam,38,30.43,35.63,69.38,109,100.25,100,92.13,43.29,67.14,210.67,184.25,154,158,183.67,131.83,52.71,225,12.29,24.14,31.14,48.14,2022-12-29
Bihar,36.35,28.32,34.54,67.73,109.41,105.68,100.7,86.7,43.03,52.32,197.64,168.08,139.66,153.81,190.26,124.1,46.3,293.51,21.3,20.62,24.97,39.03,2022-12-29
Chandigarh,38,28,35,74,114,109,103,95,42,55,194,176,146,156,178,123,53,272,27,28,34,43,2022-12-29
Chhattisgarh,34.29,30.43,35.86,73.71,103.71,96,100.14,90.14,40.29,54.43,188.71,174,128.86,152.86,169.29,129.29,45.57,302.14,21.86,25.43,25.57,16,2022-12-29
Delhi,34,28,33,71,118,120,103,90,41,52,213,187,147,169,200,119,47,228,25,28,30,30,2022-12-29
DNH and DD,39,36,41,85.5,121,124.5,116,105.5,41,52.5,195,168.5,177,177,203.5,137,54,290,20.5,26.5,30,25,2022-12-29
Goa,42.5,40.5,36.5,77.5,124.5,117.5,114,99.5,40.5,53.5,195,182,143.5,170,169,113.5,53.5,312,23.5,37.5,37.5,22.5,2022-12-29
Gujarat,35.14,31.14,34.14,70.43,109.86,100.86,97,91.86,39.83,55.5,186,178.5,146.33,165,169.33,130.67,46.67,331,15,24.43,23.29,35.83,2022-12-29
Haryana,38.25,24.75,31.75,66.25,109.25,98.5,97.5,94.5,41,57.5,185.25,165.75,149.75,153.5,174.5,126.25,44.5,235.25,24.25,24.5,23.75,28,2022-12-29
Himachal Pradesh,33.42,24.5,32.25,69.17,112.33,108.33,98.5,93.17,42.92,51.09,197.75,179.33,148.5,144.5,172,141.2,43.08,264.36,26.25,30.08,32.33,36.25,2022-12-29
Jammu and Kashmir,36.67,30.33,41.33,82.33,120,119,113.33,102,50.33,47.67,250,192.33,165,174.67,185.33,136,48,308.67,26,33.33,37.67,41.67,2022-12-29
Jharkhand,36.5,29,33.71,71.57,106.64,100.79,100.43,87.43,43.67,53.8,196.78,169.31,136.23,160.08,183.27,121.67,44,295.45,22.42,22.67,28.58,30.33,2022-12-29
Karnataka,49.17,39.58,44.75,72.5,117.08,113.25,103.83,101.42,39.58,44.75,191.83,188.67,136.25,154.67,162,110.25,53.17,298.92,20,35.08,32.25,14.92,2022-12-29
Kerala,53.46,42.46,46.85,95,134.15,133.31,121.23,115.15,41,48,215.83,215.5,170.23,,166.69,117.25,59,232.62,14.15,40.85,31.77,22.54,2022-12-29
Madhya Pradesh,34.2,27.7,33.9,67,108,92.9,95.2,89.9,41.6,57.5,185,165.7,139,146,175.9,118,44.6,257.6,19.8,23.3,19.6,23.6,2022-12-29
Maharashtra,40.08,36.17,40.92,70.75,117.92,109.33,107.08,99,40.92,54.58,184.25,181.27,141.25,149.58,170.5,116.56,51.08,269,22.25,31,27.33,22.92,2022-12-29
Manipur,40,20,40,80,120,135,110,88,45,40,185,200,170,,210,116,80,220,14,30,28,60,2022-12-29
